user_id	item_id	Timestamp	Rating	DatasetName
2516	9589	1348012800	5.0	beauty
2516	3756	1348012800	5.0	beauty
2516	7175	1398211200	5.0	beauty
1268	1005	1325548800	4.0	beauty
1268	2193	1325548800	5.0	beauty
1268	3010	1325548800	5.0	beauty
1268	1620	1325548800	5.0	beauty
1268	10638	1325548800	4.0	beauty
7806	2520	1401235200	5.0	beauty
7806	5687	1401926400	5.0	beauty
7806	1867	1401926400	5.0	beauty
7806	58	1403222400	5.0	beauty
7806	2548	1403222400	5.0	beauty
12141	2506	1264809600	5.0	beauty
12141	10655	1294617600	4.0	beauty
12141	9431	1307664000	5.0	beauty
12141	7703	1368489600	5.0	beauty
14323	3184	1292889600	5.0	beauty
14323	8571	1293580800	5.0	beauty
14323	7904	1331164800	5.0	beauty
14323	5753	1331164800	5.0	beauty
717	9756	1369094400	5.0	beauty
717	872	1369094400	5.0	beauty
717	10708	1373932800	5.0	beauty
717	10575	1395878400	5.0	beauty
717	8450	1395878400	5.0	beauty
717	9121	1395878400	5.0	beauty
6337	8571	1404086400	5.0	beauty
6337	4033	1404086400	5.0	beauty
6337	9217	1404086400	5.0	beauty
11092	1696	1393977600	5.0	beauty
11092	6855	1394064000	4.0	beauty
11092	2614	1394323200	4.0	beauty
11092	9531	1394323200	5.0	beauty
11092	7928	1394496000	5.0	beauty
11092	7141	1395100800	5.0	beauty
11092	544	1395187200	5.0	beauty
8264	2246	1374019200	5.0	beauty
8264	7972	1374019200	5.0	beauty
8264	9842	1376265600	4.0	beauty
8264	3367	1378684800	5.0	beauty
13111	8128	1341964800	5.0	beauty
13111	9787	1346457600	4.0	beauty
13111	8571	1359849600	5.0	beauty
13111	4698	1363824000	4.0	beauty
13111	762	1369094400	5.0	beauty
13111	10123	1387152000	4.0	beauty
14262	1120	1342483200	5.0	beauty
14262	6941	1346889600	5.0	beauty
14262	9619	1368835200	4.0	beauty
14262	4669	1368835200	5.0	beauty
14262	2719	1375056000	4.0	beauty
14262	3381	1375056000	4.0	beauty
5954	10303	1390521600	5.0	beauty
5954	2545	1391472000	5.0	beauty
5954	7700	1391472000	5.0	beauty
3303	7799	1350432000	5.0	beauty
3303	7202	1352592000	5.0	beauty
3303	1166	1355961600	5.0	beauty
3303	3334	1369958400	5.0	beauty
3303	9617	1376352000	5.0	beauty
3303	6671	1382659200	5.0	beauty
3303	9988	1387238400	5.0	beauty
3303	801	1387324800	4.0	beauty
3303	2548	1387324800	5.0	beauty
3303	1266	1387584000	5.0	beauty
10563	2545	1359244800	4.0	beauty
10563	1250	1359244800	5.0	beauty
10563	1360	1359244800	5.0	beauty
371	9323	1324080000	5.0	beauty
371	9441	1329177600	5.0	beauty
371	3440	1329264000	5.0	beauty
371	1266	1329523200	5.0	beauty
4477	3701	1358467200	5.0	beauty
4477	7573	1365206400	5.0	beauty
4477	5926	1379462400	4.0	beauty
4477	1718	1391212800	5.0	beauty
4477	6484	1391212800	4.0	beauty
4477	8618	1394928000	4.0	beauty
4477	1403	1402099200	5.0	beauty
10532	4072	1306281600	5.0	beauty
10532	883	1325635200	4.0	beauty
10532	5688	1333238400	4.0	beauty
1394	5238	1398988800	5.0	beauty
1394	10272	1398988800	5.0	beauty
1394	958	1398988800	5.0	beauty
1394	10714	1399852800	5.0	beauty
1394	7102	1400371200	5.0	beauty
1394	10343	1400457600	5.0	beauty
10412	5688	1384819200	5.0	beauty
10412	6297	1384819200	5.0	beauty
10412	2161	1384819200	5.0	beauty
10412	5419	1384819200	4.0	beauty
10412	373	1384819200	5.0	beauty
5428	5688	1355184000	5.0	beauty
5428	6729	1369526400	5.0	beauty
5428	7484	1370649600	5.0	beauty
8927	8975	1366934400	5.0	beauty
8927	5688	1372464000	5.0	beauty
8927	461	1372464000	4.0	beauty
7227	7908	1210896000	5.0	beauty
7227	3374	1228176000	5.0	beauty
7227	8825	1255132800	4.0	beauty
3322	6606	1168905600	5.0	beauty
3322	1246	1168905600	5.0	beauty
3322	3434	1168905600	5.0	beauty
3322	2203	1168905600	5.0	beauty
3322	8283	1235692800	5.0	beauty
3322	5487	1237075200	5.0	beauty
3322	1957	1245456000	5.0	beauty
3322	159	1256256000	5.0	beauty
3322	1562	1259107200	5.0	beauty
3322	5307	1270598400	5.0	beauty
3322	3640	1289347200	5.0	beauty
3322	225	1293408000	4.0	beauty
3322	2873	1295222400	5.0	beauty
3322	2317	1295222400	5.0	beauty
3322	10802	1317081600	5.0	beauty
3322	6367	1317081600	5.0	beauty
3322	1449	1358726400	5.0	beauty
14346	10172	1296345600	4.0	beauty
14346	3665	1310169600	5.0	beauty
14346	8557	1326067200	5.0	beauty
14346	4052	1358035200	5.0	beauty
14346	1587	1384473600	5.0	beauty
14346	9139	1393286400	5.0	beauty
13965	4716	1392940800	5.0	beauty
13965	1616	1392940800	5.0	beauty
13965	629	1392940800	5.0	beauty
13965	10456	1393718400	4.0	beauty
2798	7775	1337212800	4.0	beauty
2798	5824	1350518400	5.0	beauty
2798	8887	1366243200	4.0	beauty
13803	9926	1171152000	4.0	beauty
13803	6043	1240185600	4.0	beauty
13803	7837	1249171200	5.0	beauty
13803	5117	1306627200	5.0	beauty
13803	1724	1361750400	4.0	beauty
13803	4549	1361750400	4.0	beauty
13803	7510	1361750400	5.0	beauty
13803	272	1361750400	5.0	beauty
4386	7847	1283904000	4.0	beauty
4386	9871	1322956800	5.0	beauty
4386	9926	1346716800	5.0	beauty
4386	3712	1352592000	5.0	beauty
4386	7586	1356998400	5.0	beauty
4386	7806	1359936000	5.0	beauty
1837	9573	1304208000	5.0	beauty
1837	3494	1306886400	4.0	beauty
1837	9926	1309737600	5.0	beauty
1837	5163	1366934400	4.0	beauty
1837	8841	1366934400	4.0	beauty
1837	6591	1377993600	4.0	beauty
1837	8055	1381363200	4.0	beauty
1837	3753	1381363200	5.0	beauty
1837	9858	1381363200	4.0	beauty
1491	7499	1321228800	4.0	beauty
1491	4865	1325808000	5.0	beauty
1491	312	1348444800	5.0	beauty
1491	9926	1354924800	5.0	beauty
1491	2250	1375833600	4.0	beauty
1491	1746	1375920000	4.0	beauty
1859	9926	1380672000	5.0	beauty
1859	8466	1380672000	4.0	beauty
1859	9047	1393804800	5.0	beauty
6898	6788	1359590400	5.0	beauty
6898	9926	1375228800	5.0	beauty
6898	6219	1378252800	5.0	beauty
6898	1343	1381449600	5.0	beauty
6898	7825	1382313600	5.0	beauty
6898	199	1403481600	4.0	beauty
10633	2400	1275609600	5.0	beauty
10633	2787	1367193600	5.0	beauty
10633	4789	1367366400	5.0	beauty
7224	7900	1397606400	5.0	beauty
7224	829	1397606400	5.0	beauty
7224	6804	1397606400	5.0	beauty
7224	513	1397606400	5.0	beauty
7224	4746	1399161600	5.0	beauty
7224	3200	1399334400	5.0	beauty
1514	10933	1404172800	5.0	beauty
1514	7293	1404172800	5.0	beauty
